response_pattern,n,C1_prob,C2_prob,C3_prob,C4_prob
1-1-1-0-0-1-1-1-1,2,0.09,0.387,0.523,0
1-1-1-1-0-0-0-0-1,2,0,1,0,0
1-1-1-1-0-1-0-1-1,2,0.002,0.872,0.127,0
1-1-1-1-1-1-0-1-1,2,0,0.247,0.753,0
1-1-1-1-1-1-1-1-0,2,0,0.09,0.91,0
0-0-0-0-1-0-1-0-0,1,0.1,0.179,0,0.721
0-0-0-0-1-1-0-0-1,1,0.937,0.06,0.003,0
0-0-0-0-1-1-1-0-1,1,0.911,0.051,0.038,0
0-0-0-1-1-1-0-0-0,1,0.063,0.588,0.009,0.339
0-0-0-1-1-1-1-0-0,1,0.088,0.713,0.191,0.008
0-0-1-0-0-0-0-1-0,1,0.156,0.045,0,0.8
0-0-1-0-0-1-1-1-0,1,0.983,0.011,0.005,0
0-0-1-0-1-0-0-0-1,1,0.684,0.316,0,0
0-0-1-0-1-1-0-1-0,1,0.938,0.038,0.022,0.001
0-0-1-0-1-1-1-1-1,1,0.435,0.01,0.554,0
0-0-1-1-0-1-1-0-0,1,0.523,0.443,0.029,0.005
0-0-1-1-0-1-1-0-1,1,0.562,0.326,0.112,0
0-0-1-1-1-1-0-1-1,1,0.051,0.141,0.808,0
0-0-1-1-1-1-1-0-0,1,0.137,0.361,0.501,0
0-1-0-0-0-0-0-0-1,1,0.263,0.737,0,0
0-1-0-0-0-0-0-1-0,1,0.003,0.017,0,0.98
0-1-0-0-1-1-1-0-0,1,0.654,0.325,0.012,0.009
0-1-0-1-0-0-0-0-1,1,0.004,0.996,0,0
0-1-0-1-0-0-1-0-0,1,0.002,0.576,0,0.422
0-1-0-1-0-1-0-1-0,1,0.034,0.835,0.002,0.128
0-1-0-1-0-1-1-0-0,1,0.057,0.909,0.003,0.031
0-1-0-1-1-0-0-0-1,1,0.001,0.999,0,0
0-1-1-0-0-0-1-0-1,1,0.559,0.441,0,0
0-1-1-0-1-0-0-0-0,1,0.092,0.382,0,0.526
0-1-1-0-1-1-1-1-1,1,0.321,0.047,0.632,0
0-1-1-1-0-1-1-0-0,1,0.159,0.826,0.014,0.001
1-0-0-0-0-0-0-0-1,1,0.024,0.976,0,0
1-0-0-0-0-0-1-0-0,1,0.008,0.401,0,0.592
1-0-0-0-0-1-1-0-1,1,0.365,0.59,0.045,0
1-0-0-0-1-0-0-0-1,1,0.008,0.992,0,0
1-0-0-1-1-0-0-0-0,1,0,0.832,0,0.167
1-0-0-1-1-1-1-0-1,1,0.001,0.252,0.748,0
1-0-0-1-1-1-1-1-1,1,0,0.024,0.976,0
1-0-1-0-1-0-0-0-1,1,0.023,0.977,0,0
1-0-1-0-1-1-0-1-0,1,0.108,0.396,0.495,0
1-0-1-0-1-1-0-1-1,1,0.05,0.126,0.823,0
1-0-1-0-1-1-1-1-0,1,0.014,0.044,0.943,0
1-0-1-1-0-0-0-0-1,1,0.001,0.999,0,0
1-0-1-1-0-1-0-1-1,1,0.008,0.629,0.363,0
1-0-1-1-0-1-1-0-0,1,0.011,0.867,0.121,0
1-0-1-1-1-0-0-0-0,1,0,0.991,0,0.009
1-0-1-1-1-0-0-0-1,1,0,1,0,0
1-0-1-1-1-0-1-0-0,1,0,1,0,0
1-1-0-0-0-0-1-0-1,1,0.005,0.995,0,0
1-1-0-0-0-1-1-1-0,1,0.047,0.906,0.045,0.001
1-1-0-0-0-1-1-1-1,1,0.057,0.747,0.196,0
1-1-0-0-1-0-0-0-0,1,0.001,0.661,0,0.338
1-1-0-0-1-0-1-0-0,1,0.001,0.99,0,0.009
1-1-0-0-1-1-0-1-0,1,0.013,0.928,0.057,0.002
1-1-0-0-1-1-1-1-1,1,0.004,0.153,0.843,0
1-1-0-1-0-1-0-1-0,1,0,0.992,0.005,0.002
1-1-0-1-1-0-0-1-1,1,0,1,0,0
1-1-0-1-1-1-0-1-1,1,0,0.629,0.371,0
1-1-0-1-1-1-1-1-1,1,0,0.089,0.911,0
1-1-1-0-0-0-0-0-1,1,0.012,0.988,0,0
1-1-1-0-1-0-0-0-0,1,0.003,0.976,0,0.022
1-1-1-1-0-0-0-1-1,1,0,1,0,0
1-1-1-1-0-0-1-0-0,1,0,0.999,0,0.001
1-1-1-1-0-1-0-1-0,1,0.001,0.971,0.027,0
1-1-1-1-0-1-1-1-0,1,0.001,0.674,0.325,0
1-1-1-1-1-0-0-0-1,1,0,1,0,0
1-1-1-1-1-0-1-0-0,1,0,1,0,0
