sInvented,sProcedural,sConceptual,tInitSelect,tCompare,tDiscussQ,tConnectBigIdeas,tConnectOthers,tPressExplain,condition,seg_num,unit,teacher,groups,C1_prob,C2_prob,C3_prob,C4_prob,class
2,2,2,1,1,2,1,1,2,1,1,2,3180100,small_groups,0,0.028,0.754,0.217,3
2,2,1,2,1,2,1,1,2,1,2,2,3180100,small_groups,0,0.013,0.986,0.001,3
2,2,2,1,1,2,1,1,2,1,3,2,3180100,whole,0,0.028,0.754,0.217,3
2,2,2,1,1,2,1,1,2,1,4,2,3180100,seat,0,0.028,0.754,0.217,3
2,2,2,1,1,2,1,1,2,1,5,2,3180100,whole,0,0.028,0.754,0.217,3
2,2,2,1,1,2,1,1,2,1,6,2,3180100,small_groups,0,0.028,0.754,0.217,3
2,2,2,2,1,2,2,2,2,1,7,2,3180100,whole,0,0.932,0.068,0.001,2
2,2,2,1,1,2,1,1,2,1,8,2,3180100,whole,0,0.028,0.754,0.217,3
2,2,2,2,1,2,1,1,2,1,9,2,3180100,whole,0,0.053,0.943,0.004,3
2,2,2,1,2,2,2,1,2,1,10,2,3180100,small_groups,0,0.847,0.117,0.036,2
2,2,1,1,2,2,1,1,2,1,11,2,3180100,seat,0,0.059,0.909,0.032,3
2,2,1,1,1,2,1,1,2,1,12,2,3180100,seat,0.001,0.008,0.901,0.09,3
2,2,1,1,1,2,1,1,2,1,13,2,3180100,seat,0.001,0.008,0.901,0.09,3
2,2,1,1,1,2,1,1,2,1,14,2,3180100,seat,0.001,0.008,0.901,0.09,3
2,1,2,1,2,2,2,1,2,1,15,2,3180100,seat,0,0.866,0.058,0.075,2
2,1,1,2,1,2,1,1,1,1,1,1,3130300,whole,0.073,0.006,0.915,0.005,3
2,2,1,2,2,2,1,1,2,1,2,1,3130300,whole,0,0.088,0.911,0,3
2,1,2,2,2,2,1,2,1,1,3,1,3130300,whole,0,0.675,0.324,0.002,2
2,1,2,1,2,2,1,1,2,1,4,1,3130300,whole,0,0.288,0.502,0.211,3
2,2,2,2,1,2,2,1,2,1,5,1,3130300,whole,0,0.587,0.407,0.005,2
1,1,2,1,2,2,1,2,2,1,6,1,3130300,whole,0,0.46,0.019,0.521,4
2,2,2,1,2,2,1,2,2,1,7,1,3130300,whole,0,0.711,0.266,0.023,2
1,1,1,1,2,2,2,1,2,1,8,1,3130300,whole,0,0.306,0.02,0.674,4
1,2,1,1,1,1,1,1,1,1,1,4,3130300,small_groups,0.998,0,0.001,0,1
1,2,1,1,1,1,1,1,1,1,2,4,3130300,small_groups,0.998,0,0.001,0,1
1,2,1,1,1,2,1,1,1,1,3,4,3130300,small_groups,0.764,0,0.03,0.206,1
1,2,1,1,1,1,1,1,1,1,4,4,3130300,small_groups,0.998,0,0.001,0,1
1,2,1,1,1,1,1,1,1,1,5,4,3130300,small_groups,0.998,0,0.001,0,1
1,2,1,1,1,2,1,1,1,1,6,4,3130300,small_groups,0.764,0,0.03,0.206,1
2,2,2,1,2,2,1,1,2,1,7,4,3130300,whole,0,0.203,0.725,0.072,3
2,2,2,1,2,2,1,1,2,1,8,4,3130300,whole,0,0.203,0.725,0.072,3
1,1,1,1,1,2,1,1,1,1,9,4,3130300,whole,0.828,0,0.006,0.166,1
1,2,1,1,1,1,1,1,1,1,1,5,3130300,whole,0.998,0,0.001,0,1
1,2,1,1,1,2,1,1,2,1,2,5,3130300,whole,0.009,0.004,0.114,0.872,4
1,2,1,1,1,2,1,1,2,1,3,5,3130300,small_groups,0.009,0.004,0.114,0.872,4
1,2,1,1,1,2,1,1,2,1,4,5,3130300,whole,0.009,0.004,0.114,0.872,4
1,2,1,1,1,1,1,1,1,1,5,5,3130300,whole,0.998,0,0.001,0,1
1,1,1,1,1,1,1,1,1,1,6,5,3130300,whole,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,7,5,3130300,whole,1,0,0,0,1
1,2,1,1,1,2,1,1,2,1,8,5,3130300,small_groups,0.009,0.004,0.114,0.872,4
1,2,1,1,1,2,1,1,1,1,9,5,3130300,whole,0.764,0,0.03,0.206,1
1,2,1,1,1,2,1,1,1,1,10,5,3130300,whole,0.764,0,0.03,0.206,1
1,2,1,1,1,1,1,1,1,1,11,5,3130300,whole,0.998,0,0.001,0,1
1,2,1,1,1,2,1,1,2,1,12,5,3130300,whole,0.009,0.004,0.114,0.872,4
1,2,1,1,1,2,1,1,1,1,13,5,3130300,whole,0.764,0,0.03,0.206,1
1,1,1,1,1,1,1,1,1,1,1,6,3130300,whole,1,0,0,0,1
1,1,2,1,1,2,1,1,2,1,2,6,3130300,small_groups,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,2,2,1,3,6,3130300,small_groups,0,0.039,0.012,0.95,4
1,1,2,1,1,2,1,1,2,1,4,6,3130300,small_groups,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,2,1,5,6,3130300,whole,0,0.004,0.011,0.985,4
1,1,1,2,2,2,1,1,1,1,6,6,3130300,small_groups,0.187,0.135,0.59,0.088,3
1,1,2,1,1,2,1,1,2,1,7,6,3130300,small_groups,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,2,1,8,6,3130300,whole,0,0.004,0.011,0.985,4
1,1,1,1,1,1,1,1,1,1,9,6,3130300,whole,1,0,0,0,1
1,1,1,1,1,2,1,1,1,1,10,6,3130300,seat,0.828,0,0.006,0.166,1
1,1,1,2,1,2,1,1,1,1,11,6,3130300,seat,0.813,0.004,0.128,0.055,1
1,1,2,1,1,2,1,1,1,1,12,6,3130300,seat,0.096,0.001,0.011,0.892,4
1,1,1,1,1,2,1,1,1,1,13,6,3130300,seat,0.828,0,0.006,0.166,1
1,1,1,1,1,1,1,1,1,1,14,6,3130300,whole,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,7,3130300,whole,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,2,7,3130300,whole,1,0,0,0,1
1,1,2,1,1,2,1,1,1,1,3,7,3130300,whole,0.096,0.001,0.011,0.892,4
1,1,2,1,1,2,1,1,2,1,4,7,3130300,whole,0,0.004,0.011,0.985,4
1,1,2,1,1,2,2,1,2,1,5,7,3130300,whole,0,0.03,0.003,0.966,4
1,1,2,1,1,2,1,1,1,1,6,7,3130300,small_groups,0.096,0.001,0.011,0.892,4
1,1,1,1,1,2,1,1,1,1,7,7,3130300,whole,0.828,0,0.006,0.166,1
1,1,2,1,1,2,1,1,2,1,8,7,3130300,whole,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,1,1,9,7,3130300,whole,0.096,0.001,0.011,0.892,4
1,1,1,1,1,1,1,1,1,1,10,7,3130300,whole,1,0,0,0,1
2,1,1,1,2,1,1,1,2,1,1,1,3130500,whole,0.008,0.008,0.981,0.003,3
2,1,2,2,2,2,1,1,2,1,2,1,3130500,whole,0,0.459,0.537,0.003,3
2,2,1,2,2,2,1,1,2,1,3,1,3130500,whole,0,0.088,0.911,0,3
2,1,1,2,2,2,1,2,2,1,4,1,3130500,whole,0,0.654,0.346,0.001,2
2,1,1,2,2,2,1,2,2,1,5,1,3130500,whole,0,0.654,0.346,0.001,2
2,1,1,2,2,2,1,1,2,1,6,1,3130500,whole,0,0.165,0.833,0.002,3
2,1,1,1,1,2,1,1,2,1,7,1,3130500,whole,0.004,0.012,0.692,0.292,3
2,2,1,2,1,2,1,1,2,1,1,2,3130500,whole,0,0.013,0.986,0.001,3
2,2,2,1,1,2,1,1,2,1,2,2,3130500,whole,0,0.028,0.754,0.217,3
2,2,1,1,1,1,1,1,1,1,3,2,3130500,whole,0.903,0,0.097,0,1
2,2,1,1,1,2,1,1,1,1,4,2,3130500,whole,0.228,0.002,0.707,0.064,3
2,1,1,2,1,2,1,1,1,1,5,2,3130500,small_groups,0.073,0.006,0.915,0.005,3
2,1,2,2,1,2,1,1,2,1,6,2,3130500,small_groups,0,0.101,0.883,0.016,3
2,1,1,1,1,2,1,1,1,1,7,2,3130500,small_groups,0.568,0.001,0.312,0.118,1
2,2,2,1,1,2,1,1,1,1,8,2,3130500,small_groups,0.015,0.007,0.776,0.201,3
1,2,1,1,1,2,1,1,1,1,1,4,3130500,small_groups,0.764,0,0.03,0.206,1
1,2,1,1,1,2,1,1,1,1,2,4,3130500,small_groups,0.764,0,0.03,0.206,1
1,2,1,1,1,2,1,1,1,1,3,4,3130500,whole,0.764,0,0.03,0.206,1
1,2,1,1,1,2,1,1,1,1,4,4,3130500,small_groups,0.764,0,0.03,0.206,1
